Brown,136,29389
Cantwell,172,39310
Cardin,174,15408
Carper,179,15015
Casey,1828,40703
Corker,1825,40705
Feinstein,1332,49300
Hatch,1351,14503
Klobuchar,1826,40700
McCaskill,1820,40701
Menéndez,791,29373
Nelson,859,14651
Sanders,1010,29147
Stabenow,1531,29732
Tester,1829,40702
Whitehouse,1823,40704
Barrasso,1881,40707
Wicker,1226,29534
Alexander,1695,40304
Baucus,66,14203
Begich,1898,40900
Chambliss,188,29512
Cochran,213,14009
Collins,1541,49703
Cornyn,1692,40305
Durbin,326,15021
Enzi,1542,49706
Graham,452,29566
Hagan,1902,40907
Harkin,501,14230
Inhofe,583,15424
Johanns,1899,40905
Johnson,604,15425
Landrieu,1546,49702
Levin,1384,14709
McConnell,1395,14921
Merkley,1900,40908
Pryor,1701,40301
Reed,949,29142
Risch,1896,40902
Roberts,968,14852
Rockefeller,1424,14922
Sessions,1548,49700
Shaheen,1901,40906
Udall,1595,29906
Udall,1567,29924
Warner,1897,40909
Gillibrand,1866,20735
Franken,1969,40904
Coons,1984,40916
Manchin,1983,40915
Aderholt,1460,29701
Amash,2029,21143
Andrews,21,29132
Ayotte,2075,41106
Bachmann,1858,20728
Bachus,38,29301
Baldwin,1558,29940
Barletta,2054,21171
Barrow,1780,20507
Barton,62,15085
Bass,1996,21110
Becerra,70,29316
Benishek,2027,21141
Bennet,1965,40910
Bilirakis,1838,20758
Bishop,1753,20357
Bishop,91,29339
Bishop,1740,20338
Black,2063,21180
Blackburn,1748,20351
Blumenauer,99,29588
Blumenthal,2076,41101
Blunt,1464,29735
Boehner,102,29137
Boozman,1687,20101
Bordallo,1723,
Boustany,1787,20514
Boxer,116,15011
Brady,1468,29760
Brady,1469,29777
Braley,1845,20719
Brooks,1987,21193
Broun,1882,20753
Brown,132,29328
Buchanan,1840,20709
Bucshon,2018,21132
Burgess,1751,20355
Burr,153,29548
Butterfield,1761,20340
Calvert,165,29323
Camp,166,29124
Campbell,1816,20539
Cantor,1674,20144
Capito,1676,20146
Capps,1471,29774
Capuano,1564,29919
Carney,1999,21113
Carson,1889,20757
Carter,1752,20356
Cassidy,1925,20919
Castor,1839,20708
Chabot,186,29550
Chaffetz,1956,20949
Christensen,1474,
Chu,1970,20955
Cicilline,2055,21172
Clarke,1864,20733
Clay,1654,20147
Cleaver,1790,20517
Clyburn,208,39301
Coats,209,14806
Coble,211,15092
Coburn,212,29555
Coffman,1912,20906
Cohen,1878,20748
Cole,1742,20344
Conaway,1805,20531
Connolly,1959,20952
Conyers,229,10713
Cooper,231,15019
Costa,1774,20501
Courtney,1836,20706
Crapo,250,29345
Crawford,1989,21106
Crenshaw,1643,20111
Crowley,1604,29925
Cuellar,1807,20533
Culberson,1670,20139
Cummings,256,29587
Davis,1477,29717
Davis,1641,20108
DeFazio,279,15410
DeGette,1479,29710
DeLauro,281,29109
Denham,1995,21109
Dent,1799,20526
DesJarlais,2062,21179
Deutch,1976,20959
Diaz-Balart,1717,20316
Dingell,299,2605
Doggett,303,29571
Donnelly,1850,20717
Doyle,316,29561
Duffy,2072,21189
Duncan,2057,21174
Duncan,322,15455
Edwards,1894,20763
Ellison,1857,20727
Ellmers,2036,21159
Engel,344,15603
Eshoo,355,29312
Faleomavaega,367,
Farenthold,2067,21184
Farr,368,29313
Fattah,371,29559
Fincher,2064,21181
Fitzpatrick,1797,20524
Flake,1633,20100
Fleischmann,2061,21178
Fleming,1924,20918
Flores,2065,21182
Forbes,1683,20143
Fortenberry,1793,20518
Foxx,1791,20521
Franks,1707,20304
Frelinghuysen,414,29541
Fudge,1895,20941
Garamendi,1973,20958
Gardner,1998,21112
Garrett,1737,20336
Gerlach,1743,20345
Gibbs,2049,21165
Gibson,2043,21156
Gingrey,1720,20319
Gohmert,1801,20527
Goodlatte,446,39308
Gosar,1992,21103
Gowdy,2058,21175
Granger,1487,29762
Grassley,457,14226
Graves,1656,20124
Graves,1979,20962
Green,1803,20529
Green,462,39304
Griffin,1990,21107
Griffith,2070,21191
Grijalva,1708,20305
Grimm,2041,21154
Guthrie,1922,20916
Gutiérrez,478,29348
Hall,484,94828
Hanabusa,2010,21124
Hanna,2044,21157
Harper,1933,20925
Harris,2026,21139
Hartzler,2032,21149
Hastings,511,39337
Hastings,512,29580
Heck,2040,21151
Heinrich,1937,20930
Hensarling,1749,20352
Herrera Beutler,2071,21187
Higgins,1794,20519
Himes,1913,20907
Hinojosa,1490,29763
Hirono,1844,20713
Hoeven,2079,41107
Holt,1580,29923
Honda,1634,20103
Hoyer,566,14873
Huelskamp,2020,21134
Huizenga,2028,21142
Hultgren,2015,21129
Hunter,1909,20963
Hurt,2069,21186
Isakson,1608,29909
Israel,1663,20129
Issa,1640,20107
Jackson Lee,588,29573
Jenkins,1921,20915
Johnson,2046,21162
Johnson,599,39305
Johnson,1843,20712
Johnson,2086,41111
Johnson,603,29143
Jones,612,29546
Jordan,1868,20738
Kaptur,616,15029
Keating,2025,21140
Kelly,2051,21167
Kind,1498,29769
King,635,29375
King,1724,20325
Kingston,636,29338
Kinzinger,2014,21128
Kirk,1647,20115
Kline,1733,20333
Labrador,2011,21125
Lamborn,1834,20704
Lance,1936,20929
Langevin,1668,20136
Lankford,2050,21166
Larsen,1675,20145
Larson,1583,29908
Latham,666,29522
Latta,1885,20755
Leahy,1383,14307
Lee,1501,29778
Lee,2080,41110
Levin,683,15033
Lewis,688,15431
Lipinski,1781,20508
LoBiondo,699,29539
Loebsack,1846,20720
Lofgren,701,29504
Long,2033,21150
Lowey,709,15612
Lucas,711,29393
Luetkemeyer,1931,20926
Luján,1939,20932
Lummis,1960,20953
Lynch,1686,20119
Maloney,729,29379
Marchant,1806,20532
Marino,2053,21170
Markey,735,14435
Matheson,1671,20140
Matsui,1814,20538
McCain,754,15039
McCarthy,1503,29744
McCarthy,1833,20703
McCaul,1804,20530
McClintock,1908,20903
McCollum,1653,20122
McDermott,766,15613
McGovern,1504,29729
McHenry,1792,20522
McIntyre,1505,29746
McKeon,778,29315
McKinley,2074,21188
McMorris Rodgers,1809,20535
McNerney,1832,20702
Meehan,2052,21168
Meeks,1506,29776
Mica,800,29331
Michaud,1730,20328
Mikulski,802,14440
Miller,1731,20331
Miller,1584,29905
Miller,808,14256
Miller,1685,20110
Moore,1811,20537
Moran,832,29149
Moran,1507,29722
Mulvaney,2059,21176
Murkowski,1694,40300
Murphy,1837,20707
Murphy,1744,20346
Murray,1409,49308
Nadler,850,29377
Napolitano,1602,29903
Neal,854,15616
Neugebauer,1758,20353
Noem,2060,21177
Norton,868,
Nugent,2001,21115
Nunes,1710,20307
Nunnelee,2034,21147
Olson,1955,20948
Owens,1974,20957
Palazzo,2035,21148
Pallone,887,15454
Pascrell,1510,29741
Pastor,893,29101
Paul,2082,41104
Paulsen,1930,20924
Pearce,1738,20337
Pelosi,905,15448
Perlmutter,1835,20705
Peters,1929,20923
Peterson,910,29127
Petri,912,14675
Pierluisi,1953,
Pingree,1927,20920
Pitts,1514,29752
Poe,1802,20528
Polis,1910,20904
Pompeo,2022,21136
Portman,924,29386
Posey,1915,20909
Price,930,15438
Price,1778,20505
Quigley,1967,20954
Rahall,940,14448
Rangel,944,13035
Reed,1982,21101
Reichert,1810,20536
Reid,952,15054
Renacci,2048,21164
Ribble,2073,21190
Richmond,2023,21137
Rigell,2068,21185
Roby,1986,21192
Roe,1954,20947
Rogers,977,14854
Rogers,1651,20120
Rogers,1704,20301
Rohrabacher,979,15621
Rokita,2017,21131
Rooney,1916,20910
Ros-Lehtinen,985,15634
Roskam,1848,20715
Ross,2003,21117
Roybal-Allard,997,29317
Royce,998,29321
Rubio,2084,41102
Runyan,2039,21153
Ruppersberger,1728,20329
Rush,1003,29346
Ryan,1560,29939
Ryan,1756,20343
Sablan,1962,
Sanchez,1522,29709
Sarbanes,1854,20724
Scalise,1892,20759
Schakowsky,1588,29911
Schiff,1635,20104
Schock,1920,20914
Schrader,1950,20944
Schumer,1036,14858
Schwartz,1798,20525
Schweikert,1994,21105
Scott,2009,21123
Scott,1722,20321
Scott,1037,39307
Scott,2056,21173
Sensenbrenner,1041,14657
Serrano,1042,29134
Sessions,1525,29759
Sewell,1988,21102
Shelby,1049,94659
Sherman,1526,29707
Shimkus,1527,29718
Shuster,1681,20134
Simpson,1590,29910
Sires,1818,20542
Slaughter,1069,15444
Smith,1528,29768
Smith,1860,20729
Smith,1071,14863
Smith,1075,15445
Southerland,2000,21114
Speier,1890,20762
Stivers,2047,21163
Stutzman,1981,21100
Sánchez,1757,20310
Terry,1566,29921
Thompson,1151,29368
Thompson,1593,29901
Thompson,1952,20946
Thornberry,1155,29572
Thune,1534,29754
Tiberi,1664,20130
Tierney,1535,29730
Tipton,1997,21111
Tonko,1942,20934
Toomey,2085,29935
Tsongas,1884,20754
Turner,1741,20342
Upton,1177,15446
Van Hollen,1729,20330
Velázquez,1184,29378
Visclosky,1188,15124
Vitter,1609,29918
Walberg,1855,20725
Walden,1596,29932
Walz,1856,20726
Wasserman Schultz,1777,20504
Waters,1205,29106
Watt,1207,29383
Waxman,1209,14280
Webster,2002,21116
Welch,1879,20750
Westmoreland,1779,20506
Whitfield,1222,29525
Wilson,1688,20138
Wilson,2004,21118
Wittman,1886,20756
Wolf,1238,14869
Womack,1991,21108
Woodall,2008,21122
Wyden,1247,14871
Yarmuth,1853,20723
Yoder,2021,21135
Young,1256,14066
Young,2019,21133
Heller,1863,20730
Hahn,2089,21195
Amodei,2090,21196
Bonamici,2092,21198
Barber,2093,21199
DelBene,2096,31101
Massie,2094,31102
Payne,2097,31103
Schatz,2173,41112
Salmon,1009,29500
Stockman,1114,29570
Shea-Porter,1861,20731
Foster,1888,20749
Grayson,1914,20908
Kirkpatrick,1907,20902
Maffei,1943,20935
Titus,1940,20927
Cotton,2098,21301
Sinema,2099,21300
LaMalfa,2100,21302
Huffman,2101,21303
Bera,2102,21304
Cook,2103,21305
Swalwell,2104,21306
Valadao,2105,21307
Brownley,2106,21308
Cárdenas,2107,21309
Negrete McLeod,2108,21310
Ruiz,2109,21311
Takano,2110,21312
Lowenthal,2111,21313
Vargas,2112,21314
Peters,2113,21315
Esty,2114,21316
Yoho,2115,21317
DeSantis,2116,21318
Murphy,2117,21319
Radel,2118,21320
Frankel,2119,21321
Garcia,2120,21322
Collins,2121,21323
Gabbard,2122,21324
Duckworth,2123,21325
Schneider,2124,21326
Enyart,2125,21327
Davis,2126,21328
Bustos,2127,21329
Walorski,2128,21330
Brooks,2129,21331
Messer,2130,21332
Barr,2131,21333
Warren,2182,41301
Kennedy,2172,21335
Delaney,2133,21334
King,2185,41300
Kildee,2134,14430
Bentivolio,2135,21336
Nolan,867,14263
Wagner,2137,21337
Daines,2138,21338
Hudson,2140,21346
Pittenger,2141,21347
Meadows,2142,21348
Holding,2143,21349
Heitkamp,2174,41303
Cramer,2144,21350
Fischer,2179,41302
Kuster,2145,21340
Lujan Grisham,2146,21341
Horsford,2147,21339
Meng,2148,21342
Jeffries,2149,21343
Maloney,2150,21344
Collins,2151,21345
Wenstrup,2152,21351
Beatty,2153,21352
Joyce,2154,21353
Bridenstine,2155,21354
Mullin,2156,21355
Perry,2157,21356
Rothfus,2158,21357
Cartwright,2159,21358
Rice,2160,21359
Cruz,2175,41304
Weber,2161,21360
O'Rourke,2162,21361
Castro,2163,21362
Gallego,2164,21363
Williams,2165,21364
Veasey,2166,21365
Vela,2167,21366
Stewart,2168,21367
Kaine,2176,41305
Kilmer,2169,21368
Heck,2170,21369
Pocan,2171,21370
Kelly,2190,21371
Sanford,1012,
Smith,2191,
Booker,2194,
McAllister,2195,
